Country Name,PC1,PC2
Algeria,2.4488589832316188,0.5413819941190107
Angola,-1.8776116873779671,0.35101057160454
Bangladesh,-1.6348075753584013,1.4949277101287628
Benin,-1.478399022447291,0.7531609837930873
Bolivia,0.47956106191736475,-0.3221957046002869
Cambodia,-2.283485847554721,2.406054129479642
Cameroon,-2.195470147549655,-1.4807944485685718
"Congo, Rep.",-1.594305305627679,-1.9163264076280357
Cote d'Ivoire,-1.9954565702227838,0.49573769985356536
"Egypt, Arab Rep.",1.2067409211960438,0.42066481006943324
El Salvador,-0.7019839444031714,-2.7020696284152295
Ghana,-2.3970659496223514,0.7862364549385913
Haiti,-1.573645825862492,-3.012417518733026
Honduras,-0.963333486903607,-0.4218084241642918
India,1.2973666564465876,5.577046249397786
Indonesia,0.3566000566610518,1.6718943316480177
"Iran, Islamic Rep.",4.894798385112194,1.5793399641671497
Kenya,-2.2890871914654154,-0.9093063352934255
Kyrgyz Republic,1.458314552018291,-1.6816896321069021
Lebanon,2.312134305305247,-0.7787630750880193
Mongolia,5.076995125512442,0.9407491838261601
Morocco,0.8645982269014019,-0.0830103648328661
Myanmar,-2.3175629635523887,1.159033746018575
Nepal,-2.94451477912716,-0.1554441902044755
Nicaragua,-0.9762462186527057,-1.1447280053258855
Nigeria,-1.2220225363466288,0.7209352896912937
Pakistan,-0.40702535752594693,0.6685055429047122
Philippines,-0.5058861405757463,-0.29014510626477824
Senegal,-0.7062928701871339,-0.19224731435182538
Sri Lanka,-2.1261916455589542,-0.44959183263278935
Tajikistan,0.4129144381722628,-2.6460917117343543
Tanzania,-2.4594053430576333,0.638479257084058
Tunisia,1.6240783140469084,-0.7079766175141667
Ukraine,6.5404031315538935,-3.48141837274088
Uzbekistan,6.1132584939283365,1.577513539460526
Viet Nam,-0.9714923486073467,1.9202632456726838
Zimbabwe,0.5346701055835333,-1.326910013657779
