PC1,PC2,Country Name,Cluster
-2.3966950772086832,-0.18964032580337087,Albania,0
0.22849826149672914,-0.7238426636979756,Argentina,1
0.22821466635832502,-1.3645874605727983,Armenia,1
2.81510841541947,-1.0498508188508422,Azerbaijan,1
4.0297678729203135,0.9047710555565854,Belarus,2
2.461756974317627,0.6272773994184313,Bosnia and Herzegovina,1
-1.3234311998387023,0.06686913566627181,Botswana,0
-1.719775269841166,1.3960942428132017,Brazil,0
-2.3853504018814484,-0.7952660789327101,Colombia,0
-3.9124383958613715,-0.8718697943301077,Costa Rica,0
-1.4243039605658092,-1.485594380061544,Dominican Republic,0
-1.5240930654247773,-0.9563997800423363,Ecuador,0
-2.7687366408786835,6.293732572127576,Gabon,3
-0.7265785540153101,-0.09675145286138655,Georgia,0
-4.385637462309654,1.1092380803565647,Guatemala,3
2.600155596615898,-1.3015147351382674,Iraq,1
1.192629507288629,-0.8883796344165108,Jamaica,1
0.6523044280119656,-1.2964071231795655,Jordan,1
5.674524905179446,2.209897399637178,Kazakhstan,2
4.152134385400981,0.34253116944204526,Libya,2
1.889098692351003,-0.3195652327954505,Malaysia,1
-2.371741830036655,-1.7367801747405878,Mauritius,0
0.5652913164977726,-0.5493179737591878,Mexico,1
2.302302224417561,-0.49293299479284886,Moldova,1
-2.0751983705560684,-0.34567436809342633,Namibia,0
1.2931099241347763,-0.3667861228997952,North Macedonia,1
-4.297098212937292,2.2337426477481173,Paraguay,3
-2.8397264501865975,-0.8566378699327849,Peru,0
4.583541498323307,1.934293189664472,South Africa,2
-0.8392253528249121,-0.8571607576884639,Suriname,0
0.49933642377617676,0.15949410389345753,Thailand,1
-0.17774484814285196,-0.7329812537339425,Turkiye,1
