Country Name,PC1,PC2
Albania,-2.3966950772086832,-0.18964032580337087
Argentina,0.22849826149672914,-0.7238426636979756
Armenia,0.22821466635832502,-1.3645874605727983
Azerbaijan,2.81510841541947,-1.0498508188508422
Belarus,4.0297678729203135,0.9047710555565854
Bosnia and Herzegovina,2.461756974317627,0.6272773994184313
Botswana,-1.3234311998387023,0.06686913566627181
Brazil,-1.719775269841166,1.3960942428132017
Colombia,-2.3853504018814484,-0.7952660789327101
Costa Rica,-3.9124383958613715,-0.8718697943301077
Dominican Republic,-1.4243039605658092,-1.485594380061544
Ecuador,-1.5240930654247773,-0.9563997800423363
Gabon,-2.7687366408786835,6.293732572127576
Georgia,-0.7265785540153101,-0.09675145286138655
Guatemala,-4.385637462309654,1.1092380803565647
Iraq,2.600155596615898,-1.3015147351382674
Jamaica,1.192629507288629,-0.8883796344165108
Jordan,0.6523044280119656,-1.2964071231795655
Kazakhstan,5.674524905179446,2.209897399637178
Libya,4.152134385400981,0.34253116944204526
Malaysia,1.889098692351003,-0.3195652327954505
Mauritius,-2.371741830036655,-1.7367801747405878
Mexico,0.5652913164977726,-0.5493179737591878
Moldova,2.302302224417561,-0.49293299479284886
Namibia,-2.0751983705560684,-0.34567436809342633
North Macedonia,1.2931099241347763,-0.3667861228997952
Paraguay,-4.297098212937292,2.2337426477481173
Peru,-2.8397264501865975,-0.8566378699327849
South Africa,4.583541498323307,1.934293189664472
Suriname,-0.8392253528249121,-0.8571607576884639
Thailand,0.49933642377617676,0.15949410389345753
Turkiye,-0.17774484814285196,-0.7329812537339425
